d15/debugstate/kwl/fan1 Fan1 - M: 36075940, gap: -8, tsf: 645, ssf: 1230, rpm: 1222
d15/debugstate/kwl/fan1 Fan1 - M: 197075940, gap: -4, tsf: 651, ssf: 1230, rpm: 1226
d15/debugstate/kwl/fan2 Fan2 - M: 197075940, gap: 0, tsf: 192, ssf: 1360, rpm: 1360
d15/debugstate/kwl/fan1 Fan1 - M: 198075940, gap: -4, tsf: 651, ssf: 1230, rpm: 1226
d15/debugstate/kwl/fan2 Fan2 - M: 198075940, gap: 0, tsf: 192, ssf: 1360, rpm: 1360
d15/debugstate/kwl/fan1 Fan1 - M: 199075940, gap: 0, tsf: 651, ssf: 1230, rpm: 1230
d15/debugstate/kwl/fan2 Fan2 - M: 199075940, gap: 4, tsf: 191, ssf: 1360, rpm: 1364
d15/debugstate/kwl/fan1 Fan1 - M: 200075940, gap: -2, tsf: 651, ssf: 1230, rpm: 1228
d15/debugstate/kwl/fan2 Fan2 - M: 200075940, gap: -6, tsf: 193, ssf: 1360, rpm: 1354
d15/debugstate/kwl/fan1 Fan1 - M: 202075940, gap: -2, tsf: 651, ssf: 1230, rpm: 1228
d15/debugstate/kwl/fan2 Fan2 - M: 202075940, gap: -5, tsf: 193, ssf: 1360, rpm: 1355
d15/debugstate/kwl/fan1 Fan1 - M: 203075940, gap: -371, tsf: 688, ssf: 1599, rpm: 1228
d15/debugstate/kwl/fan2 Fan2 - M: 203075940, gap: -408, tsf: 233, ssf: 1767, rpm: 1359
d15/debugstate/kwl/fan1 Fan1 - M: 204075940, gap: -352, tsf: 688, ssf: 1599, rpm: 1247
d15/debugstate/kwl/fan2 Fan2 - M: 204075940, gap: -382, tsf: 233, ssf: 1767, rpm: 1385
d15/debugstate/kwl/fan1 Fan1 - M: 205075940, gap: -304, tsf: 712, ssf: 1599, rpm: 1295
d15/debugstate/kwl/fan2 Fan2 - M: 205075940, gap: -333, tsf: 259, ssf: 1767, rpm: 1434
d15/debugstate/kwl/fan1 Fan1 - M: 207075940, gap: -297, tsf: 712, ssf: 1599, rpm: 1302
d15/debugstate/kwl/fan2 Fan2 - M: 207075940, gap: -324, tsf: 259, ssf: 1767, rpm: 1443
d15/debugstate/kwl/fan1 Fan1 - M: 208075940, gap: -275, tsf: 737, ssf: 1599, rpm: 1324
d15/debugstate/kwl/fan2 Fan2 - M: 208075940, gap: -298, tsf: 285, ssf: 1767, rpm: 1469
d15/debugstate/kwl/fan1 Fan1 - M: 209075940, gap: -248, tsf: 759, ssf: 1599, rpm: 1351
d15/debugstate/kwl/fan2 Fan2 - M: 209075940, gap: -266, tsf: 309, ssf: 1767, rpm: 1501
d15/debugstate/kwl/fan1 Fan1 - M: 210075940, gap: -174, tsf: 769, ssf: 1599, rpm: 1425
d15/debugstate/kwl/fan2 Fan2 - M: 210075940, gap: -191, tsf: 320, ssf: 1767, rpm: 1576
d15/debugstate/kwl/fan1 Fan1 - M: 212075940, gap: -165, tsf: 769, ssf: 1599, rpm: 1434
d15/debugstate/kwl/fan2 Fan2 - M: 212075940, gap: -184, tsf: 320, ssf: 1767, rpm: 1583
d15/debugstate/kwl/fan1 Fan1 - M: 213075940, gap: -152, tsf: 782, ssf: 1599, rpm: 1447
d15/debugstate/kwl/fan2 Fan2 - M: 213075940, gap: -169, tsf: 335, ssf: 1767, rpm: 1598
d15/debugstate/kwl/fan1 Fan1 - M: 214075940, gap: -140, tsf: 794, ssf: 1599, rpm: 1459
d15/debugstate/kwl/fan2 Fan2 - M: 214075940, gap: -155, tsf: 349, ssf: 1767, rpm: 1612
d15/debugstate/kwl/fan1 Fan1 - M: 215075940, gap: -104, tsf: 801, ssf: 1599, rpm: 1495
d15/debugstate/kwl/fan2 Fan2 - M: 215075940, gap: -113, tsf: 357, ssf: 1767, rpm: 1654
d15/debugstate/kwl/fan1 Fan1 - M: 217075940, gap: -99, tsf: 801, ssf: 1599, rpm: 1500
d15/debugstate/kwl/fan2 Fan2 - M: 217075940, gap: -107, tsf: 357, ssf: 1767, rpm: 1660
d15/debugstate/kwl/fan1 Fan1 - M: 218075940, gap: -89, tsf: 809, ssf: 1599, rpm: 1510
d15/debugstate/kwl/fan2 Fan2 - M: 218075940, gap: -96, tsf: 365, ssf: 1767, rpm: 1671
d15/debugstate/kwl/fan1 Fan1 - M: 219075940, gap: -77, tsf: 809, ssf: 1599, rpm: 1522
d15/debugstate/kwl/fan2 Fan2 - M: 219075940, gap: -82, tsf: 365, ssf: 1767, rpm: 1685
d15/debugstate/kwl/fan1 Fan1 - M: 220075940, gap: -67, tsf: 813, ssf: 1599, rpm: 1532
d15/debugstate/kwl/fan2 Fan2 - M: 220075940, gap: -78, tsf: 371, ssf: 1767, rpm: 1689
d15/debugstate/kwl/fan1 Fan1 - M: 222075940, gap: -65, tsf: 813, ssf: 1599, rpm: 1534
d15/debugstate/kwl/fan2 Fan2 - M: 222075940, gap: -76, tsf: 371, ssf: 1767, rpm: 1691
d15/debugstate/kwl/fan1 Fan1 - M: 223075940, gap: -60, tsf: 818, ssf: 1599, rpm: 1539
d15/debugstate/kwl/fan2 Fan2 - M: 223075940, gap: -70, tsf: 377, ssf: 1767, rpm: 1697
d15/debugstate/kwl/fan1 Fan1 - M: 224075940, gap: -55, tsf: 823, ssf: 1599, rpm: 1544
d15/debugstate/kwl/fan2 Fan2 - M: 224075940, gap: -63, tsf: 383, ssf: 1767, rpm: 1704
d15/debugstate/kwl/fan1 Fan1 - M: 225075940, gap: -42, tsf: 826, ssf: 1599, rpm: 1557
d15/debugstate/kwl/fan2 Fan2 - M: 225075940, gap: -46, tsf: 386, ssf: 1767, rpm: 1721
d15/debugstate/kwl/fan1 Fan1 - M: 227075940, gap: -42, tsf: 826, ssf: 1599, rpm: 1557
d15/debugstate/kwl/fan2 Fan2 - M: 227075940, gap: -44, tsf: 386, ssf: 1767, rpm: 1723
d15/debugstate/kwl/fan1 Fan1 - M: 228075940, gap: -42, tsf: 831, ssf: 1599, rpm: 1557
d15/debugstate/kwl/fan2 Fan2 - M: 228075940, gap: -39, tsf: 389, ssf: 1767, rpm: 1728
d15/debugstate/kwl/fan1 Fan1 - M: 229075940, gap: -33, tsf: 833, ssf: 1599, rpm: 1566
d15/debugstate/kwl/fan2 Fan2 - M: 229075940, gap: -30, tsf: 391, ssf: 1767, rpm: 1737
d15/debugstate/kwl/fan1 Fan1 - M: 230075940, gap: -37, tsf: 837, ssf: 1599, rpm: 1562
d15/debugstate/kwl/fan2 Fan2 - M: 230075940, gap: -29, tsf: 394, ssf: 1767, rpm: 1738
d15/debugstate/kwl/fan1 Fan1 - M: 232075940, gap: -38, tsf: 837, ssf: 1599, rpm: 1561
d15/debugstate/kwl/fan2 Fan2 - M: 232075940, gap: -28, tsf: 394, ssf: 1767, rpm: 1739
d15/debugstate/kwl/fan1 Fan1 - M: 233075940, gap: -31, tsf: 840, ssf: 1599, rpm: 1568
d15/debugstate/kwl/fan2 Fan2 - M: 233075940, gap: -23, tsf: 396, ssf: 1767, rpm: 1744
d15/debugstate/kwl/fan1 Fan1 - M: 234075940, gap: -22, tsf: 840, ssf: 1599, rpm: 1577
d15/debugstate/kwl/fan2 Fan2 - M: 234075940, gap: -19, tsf: 396, ssf: 1767, rpm: 1748
d15/debugstate/kwl/fan1 Fan1 - M: 235075940, gap: -12, tsf: 839, ssf: 1599, rpm: 1587
d15/debugstate/kwl/fan2 Fan2 - M: 235075940, gap: -14, tsf: 397, ssf: 1767, rpm: 1753
d15/debugstate/kwl/fan1 Fan1 - M: 237075940, gap: -13, tsf: 839, ssf: 1599, rpm: 1586
d15/debugstate/kwl/fan2 Fan2 - M: 237075940, gap: -14, tsf: 397, ssf: 1767, rpm: 1753
d15/debugstate/kwl/fan1 Fan1 - M: 238075940, gap: -13, tsf: 840, ssf: 1599, rpm: 1586
d15/debugstate/kwl/fan2 Fan2 - M: 238075940, gap: -14, tsf: 398, ssf: 1767, rpm: 1753
d15/debugstate/kwl/fan1 Fan1 - M: 239075940, gap: -8, tsf: 841, ssf: 1599, rpm: 1591
d15/debugstate/kwl/fan2 Fan2 - M: 239075940, gap: -9, tsf: 399, ssf: 1767, rpm: 1758
d15/debugstate/kwl/fan1 Fan1 - M: 240075940, gap: -7, tsf: 841, ssf: 1599, rpm: 1592
d15/debugstate/kwl/fan2 Fan2 - M: 240075940, gap: -12, tsf: 400, ssf: 1767, rpm: 1755
d15/debugstate/kwl/fan1 Fan1 - M: 242075940, gap: -6, tsf: 841, ssf: 1599, rpm: 1593
d15/debugstate/kwl/fan2 Fan2 - M: 242075940, gap: -10, tsf: 400, ssf: 1767, rpm: 1757
d15/debugstate/kwl/fan1 Fan1 - M: 243075940, gap: -5, tsf: 841, ssf: 1599, rpm: 1594
d15/debugstate/kwl/fan2 Fan2 - M: 243075940, gap: -6, tsf: 400, ssf: 1767, rpm: 1761
d15/debugstate/kwl/fan1 Fan1 - M: 244075940, gap: -4, tsf: 842, ssf: 1599, rpm: 1595
d15/debugstate/kwl/fan2 Fan2 - M: 244075940, gap: -6, tsf: 401, ssf: 1767, rpm: 1761
d15/debugstate/kwl/fan1 Fan1 - M: 245075940, gap: -1, tsf: 842, ssf: 1599, rpm: 1598
d15/debugstate/kwl/fan2 Fan2 - M: 245075940, gap: -3, tsf: 401, ssf: 1767, rpm: 1764
d15/debugstate/kwl/fan1 Fan1 - M: 247075940, gap: 0, tsf: 842, ssf: 1599, rpm: 1599
d15/debugstate/kwl/fan2 Fan2 - M: 247075940, gap: -2, tsf: 401, ssf: 1767, rpm: 1765
d15/debugstate/kwl/fan1 Fan1 - M: 248075940, gap: 0, tsf: 841, ssf: 1599, rpm: 1599
d15/debugstate/kwl/fan2 Fan2 - M: 248075940, gap: -3, tsf: 401, ssf: 1767, rpm: 1764
d15/debugstate/kwl/fan1 Fan1 - M: 249075940, gap: 3, tsf: 841, ssf: 1599, rpm: 1602
d15/debugstate/kwl/fan2 Fan2 - M: 249075940, gap: 1, tsf: 401, ssf: 1767, rpm: 1769
d15/debugstate/kwl/fan1 Fan1 - M: 250075940, gap: -5, tsf: 842, ssf: 1599, rpm: 1594
d15/debugstate/kwl/fan2 Fan2 - M: 250075940, gap: -4, tsf: 402, ssf: 1767, rpm: 1763
d15/debugstate/kwl/fan1 Fan1 - M: 252075940, gap: -5, tsf: 842, ssf: 1599, rpm: 1594
d15/debugstate/kwl/fan2 Fan2 - M: 252075940, gap: -4, tsf: 402, ssf: 1767, rpm: 1763
d15/debugstate/kwl/fan1 Fan1 - M: 253075940, gap: -5, tsf: 843, ssf: 1599, rpm: 1594
d15/debugstate/kwl/fan2 Fan2 - M: 253075940, gap: -3, tsf: 402, ssf: 1767, rpm: 1764
d15/debugstate/kwl/fan1 Fan1 - M: 254075940, gap: -7, tsf: 844, ssf: 1599, rpm: 1592
d15/debugstate/kwl/fan2 Fan2 - M: 254075940, gap: -1, tsf: 402, ssf: 1767, rpm: 1766
d15/debugstate/kwl/fan1 Fan1 - M: 255075940, gap: -2, tsf: 843, ssf: 1599, rpm: 1597
d15/debugstate/kwl/fan2 Fan2 - M: 255075940, gap: 1, tsf: 402, ssf: 1767, rpm: 1769
d15/debugstate/kwl/fan1 Fan1 - M: 257075940, gap: -2, tsf: 843, ssf: 1599, rpm: 1597
d15/debugstate/kwl/fan2 Fan2 - M: 257075940, gap: 2, tsf: 402, ssf: 1767, rpm: 1770
d15/debugstate/kwl/fan1 Fan1 - M: 258075940, gap: -3, tsf: 844, ssf: 1599, rpm: 1596
d15/debugstate/kwl/fan2 Fan2 - M: 258075940, gap: 0, tsf: 402, ssf: 1767, rpm: 1768
d15/debugstate/kwl/fan1 Fan1 - M: 259075940, gap: 4, tsf: 844, ssf: 1599, rpm: 1603
d15/debugstate/kwl/fan2 Fan2 - M: 259075940, gap: 6, tsf: 402, ssf: 1767, rpm: 1774
d15/debugstate/kwl/fan1 Fan1 - M: 260075940, gap: 4, tsf: 843, ssf: 1599, rpm: 1603
d15/debugstate/kwl/fan2 Fan2 - M: 260075940, gap: 0, tsf: 402, ssf: 1767, rpm: 1767
d15/debugstate/kwl/fan1 Fan1 - M: 262075940, gap: 4, tsf: 843, ssf: 1599, rpm: 1603
d15/debugstate/kwl/fan2 Fan2 - M: 262075940, gap: 0, tsf: 402, ssf: 1767, rpm: 1767
d15/debugstate/kwl/fan1 Fan1 - M: 263075940, gap: 0, tsf: 843, ssf: 1599, rpm: 1599
d15/debugstate/kwl/fan2 Fan2 - M: 263075940, gap: -2, tsf: 403, ssf: 1767, rpm: 1765
d15/debugstate/kwl/fan1 Fan1 - M: 264075940, gap: -3, tsf: 844, ssf: 1599, rpm: 1596
d15/debugstate/kwl/fan2 Fan2 - M: 264075940, gap: -4, tsf: 403, ssf: 1767, rpm: 1763
d15/debugstate/kwl/fan1 Fan1 - M: 265075940, gap: 6, tsf: 842, ssf: 1599, rpm: 1605
d15/debugstate/kwl/fan2 Fan2 - M: 265075940, gap: -4, tsf: 404, ssf: 1767, rpm: 1763
d15/debugstate/kwl/fan1 Fan1 - M: 267075940, gap: 7, tsf: 842, ssf: 1599, rpm: 1606
d15/debugstate/kwl/fan2 Fan2 - M: 267075940, gap: -1, tsf: 404, ssf: 1767, rpm: 1766
d15/debugstate/kwl/fan1 Fan1 - M: 268075940, gap: 2, tsf: 842, ssf: 1599, rpm: 1601
d15/debugstate/kwl/fan2 Fan2 - M: 268075940, gap: 3, tsf: 403, ssf: 1767, rpm: 1771
d15/debugstate/kwl/fan1 Fan1 - M: 269075940, gap: 0, tsf: 843, ssf: 1599, rpm: 1599
d15/debugstate/kwl/fan2 Fan2 - M: 269075940, gap: 8, tsf: 403, ssf: 1767, rpm: 1776
d15/debugstate/kwl/fan1 Fan1 - M: 270075940, gap: -7, tsf: 843, ssf: 1599, rpm: 1592
d15/debugstate/kwl/fan2 Fan2 - M: 270075940, gap: 2, tsf: 403, ssf: 1767, rpm: 1770
d15/debugstate/kwl/fan1 Fan1 - M: 272075940, gap: 362, tsf: 647, ssf: 1230, rpm: 1592
d15/debugstate/kwl/fan2 Fan2 - M: 272075940, gap: 409, tsf: 190, ssf: 1360, rpm: 1769
d15/debugstate/kwl/fan1 Fan1 - M: 273075940, gap: 285, tsf: 647, ssf: 1230, rpm: 1515
d15/debugstate/kwl/fan2 Fan2 - M: 273075940, gap: 260, tsf: 190, ssf: 1360, rpm: 1620
d15/debugstate/kwl/fan1 Fan1 - M: 274075940, gap: 125, tsf: 647, ssf: 1230, rpm: 1355
d15/debugstate/kwl/fan2 Fan2 - M: 274075940, gap: 75, tsf: 190, ssf: 1360, rpm: 1435
d15/debugstate/kwl/fan1 Fan1 - M: 275075940, gap: 1, tsf: 647, ssf: 1230, rpm: 1231
d15/debugstate/kwl/fan2 Fan2 - M: 275075940, gap: -1, tsf: 190, ssf: 1360, rpm: 1359
d15/debugstate/kwl/fan1 Fan1 - M: 277075940, gap: -5, tsf: 647, ssf: 1230, rpm: 1225
d15/debugstate/kwl/fan2 Fan2 - M: 277075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 278075940, gap: -6, tsf: 647, ssf: 1230, rpm: 1224
d15/debugstate/kwl/fan2 Fan2 - M: 278075940, gap: -5, tsf: 190, ssf: 1360, rpm: 1355
d15/debugstate/kwl/fan1 Fan1 - M: 279075940, gap: -2, tsf: 647, ssf: 1230, rpm: 1228
d15/debugstate/kwl/fan2 Fan2 - M: 279075940, gap: -1, tsf: 190, ssf: 1360, rpm: 1359
d15/debugstate/kwl/fan1 Fan1 - M: 280075940, gap: -6, tsf: 647, ssf: 1230, rpm: 1224
d15/debugstate/kwl/fan2 Fan2 - M: 280075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 282075940, gap: -7, tsf: 647, ssf: 1230, rpm: 1223
d15/debugstate/kwl/fan2 Fan2 - M: 282075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 283075940, gap: -8, tsf: 647, ssf: 1230, rpm: 1222
d15/debugstate/kwl/fan2 Fan2 - M: 283075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 284075940, gap: -9, tsf: 647, ssf: 1230, rpm: 1221
d15/debugstate/kwl/fan2 Fan2 - M: 284075940, gap: -5, tsf: 190, ssf: 1360, rpm: 1355
d15/debugstate/kwl/fan1 Fan1 - M: 285075940, gap: -8, tsf: 647, ssf: 1230, rpm: 1222
d15/debugstate/kwl/fan2 Fan2 - M: 285075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 287075940, gap: -7, tsf: 647, ssf: 1230, rpm: 1223
d15/debugstate/kwl/fan2 Fan2 - M: 287075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 288075940, gap: -6, tsf: 647, ssf: 1230, rpm: 1224
d15/debugstate/kwl/fan2 Fan2 - M: 288075940, gap: -3, tsf: 190, ssf: 1360, rpm: 1357
d15/debugstate/kwl/fan1 Fan1 - M: 289075940, gap: -4, tsf: 647, ssf: 1230, rpm: 1226
d15/debugstate/kwl/fan2 Fan2 - M: 289075940, gap: 1, tsf: 190, ssf: 1360, rpm: 1361
d15/debugstate/kwl/fan1 Fan1 - M: 290075940, gap: -8, tsf: 647, ssf: 1230, rpm: 1222
d15/debugstate/kwl/fan2 Fan2 - M: 290075940, gap: -1, tsf: 190, ssf: 1360, rpm: 1359
d15/debugstate/kwl/fan1 Fan1 - M: 292075940, gap: -9, tsf: 647, ssf: 1230, rpm: 1221
d15/debugstate/kwl/fan2 Fan2 - M: 292075940, gap: -1, tsf: 190, ssf: 1360, rpm: 1359
d15/debugstate/kwl/fan1 Fan1 - M: 293075940, gap: -9, tsf: 647, ssf: 1230, rpm: 1221
d15/debugstate/kwl/fan2 Fan2 - M: 293075940, gap: -2, tsf: 190, ssf: 1360, rpm: 1358
d15/debugstate/kwl/fan1 Fan1 - M: 294075940, gap: -10, tsf: 647, ssf: 1230, rpm: 1220
d15/debugstate/kwl/fan2 Fan2 - M: 294075940, gap: -2, tsf: 190, ssf: 1360, rpm: 1358
d15/debugstate/kwl/fan1 Fan1 - M: 295075940, gap: -10, tsf: 647, ssf: 1230, rpm: 1220
d15/debugstate/kwl/fan2 Fan2 - M: 295075940, gap: -2, tsf: 190, ssf: 1360, rpm: 1358
d15/debugstate/kwl/fan1 Fan1 - M: 297075940, gap: -10, tsf: 647, ssf: 1230, rpm: 1220
d15/debugstate/kwl/fan2 Fan2 - M: 297075940, gap: -1, tsf: 190, ssf: 1360, rpm: 1359
d15/debugstate/kwl/fan1 Fan1 - M: 298075940, gap: -9, tsf: 647, ssf: 1230, rpm: 1221
d15/debugstate/kwl/fan2 Fan2 - M: 298075940, gap: -1, tsf: 190, ssf: 1360, rpm: 1359
d15/debugstate/kwl/fan1 Fan1 - M: 299075940, gap: -8, tsf: 647, ssf: 1230, rpm: 1222
d15/debugstate/kwl/fan2 Fan2 - M: 299075940, gap: 0, tsf: 190, ssf: 1360, rpm: 1360
d15/debugstate/kwl/fan1 Fan1 - M: 300075940, gap: -9, tsf: 647, ssf: 1230, rpm: 1221
d15/debugstate/kwl/fan2 Fan2 - M: 300075940, gap: -5, tsf: 190, ssf: 1360, rpm: 1355
d15/debugstate/kwl/fan1 Fan1 - M: 302075940, gap: -9, tsf: 647, ssf: 1230, rpm: 1221
d15/debugstate/kwl/fan2 Fan2 - M: 302075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 303075940, gap: -10, tsf: 647, ssf: 1230, rpm: 1220
d15/debugstate/kwl/fan2 Fan2 - M: 303075940, gap: -3, tsf: 190, ssf: 1360, rpm: 1357
d15/debugstate/kwl/fan1 Fan1 - M: 304075940, gap: -11, tsf: 647, ssf: 1230, rpm: 1219
d15/debugstate/kwl/fan2 Fan2 - M: 304075940, gap: -1, tsf: 190, ssf: 1360, rpm: 1359
d15/debugstate/kwl/fan1 Fan1 - M: 305075940, gap: -13, tsf: 647, ssf: 1230, rpm: 1217
d15/debugstate/kwl/fan2 Fan2 - M: 305075940, gap: -3, tsf: 190, ssf: 1360, rpm: 1357
d15/debugstate/kwl/fan1 Fan1 - M: 307075940, gap: -12, tsf: 647, ssf: 1230, rpm: 1218
d15/debugstate/kwl/fan2 Fan2 - M: 307075940, gap: -3, tsf: 190, ssf: 1360, rpm: 1357
d15/debugstate/kwl/fan1 Fan1 - M: 308075940, gap: -12, tsf: 647, ssf: 1230, rpm: 1218
d15/debugstate/kwl/fan2 Fan2 - M: 308075940, gap: -3, tsf: 190, ssf: 1360, rpm: 1357
d15/debugstate/kwl/fan1 Fan1 - M: 309075940, gap: -10, tsf: 647, ssf: 1230, rpm: 1220
d15/debugstate/kwl/fan2 Fan2 - M: 309075940, gap: 1, tsf: 190, ssf: 1360, rpm: 1361
d15/debugstate/kwl/fan1 Fan1 - M: 310075940, gap: -14, tsf: 647, ssf: 1230, rpm: 1216
d15/debugstate/kwl/fan2 Fan2 - M: 310075940, gap: -2, tsf: 190, ssf: 1360, rpm: 1358
d15/debugstate/kwl/fan1 Fan1 - M: 312075940, gap: -14, tsf: 647, ssf: 1230, rpm: 1216
d15/debugstate/kwl/fan2 Fan2 - M: 312075940, gap: -2, tsf: 190, ssf: 1360, rpm: 1358
d15/debugstate/kwl/fan1 Fan1 - M: 313075940, gap: -13, tsf: 647, ssf: 1230, rpm: 1217
d15/debugstate/kwl/fan2 Fan2 - M: 313075940, gap: -3, tsf: 190, ssf: 1360, rpm: 1357
d15/debugstate/kwl/fan1 Fan1 - M: 314075940, gap: -13, tsf: 647, ssf: 1230, rpm: 1217
d15/debugstate/kwl/fan2 Fan2 - M: 314075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 315075940, gap: -15, tsf: 647, ssf: 1230, rpm: 1215
d15/debugstate/kwl/fan2 Fan2 - M: 315075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 317075940, gap: -14, tsf: 647, ssf: 1230, rpm: 1216
d15/debugstate/kwl/fan2 Fan2 - M: 317075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 318075940, gap: -14, tsf: 647, ssf: 1230, rpm: 1216
d15/debugstate/kwl/fan2 Fan2 - M: 318075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 319075940, gap: -11, tsf: 647, ssf: 1230, rpm: 1219
d15/debugstate/kwl/fan2 Fan2 - M: 319075940, gap: -2, tsf: 190, ssf: 1360, rpm: 1358
d15/debugstate/kwl/fan1 Fan1 - M: 320075940, gap: -14, tsf: 647, ssf: 1230, rpm: 1216
d15/debugstate/kwl/fan2 Fan2 - M: 320075940, gap: -2, tsf: 190, ssf: 1360, rpm: 1358
d15/debugstate/kwl/fan1 Fan1 - M: 322075940, gap: -15, tsf: 647, ssf: 1230, rpm: 1215
d15/debugstate/kwl/fan2 Fan2 - M: 322075940, gap: -1, tsf: 190, ssf: 1360, rpm: 1359
d15/debugstate/kwl/fan1 Fan1 - M: 323075940, gap: -14, tsf: 647, ssf: 1230, rpm: 1216
d15/debugstate/kwl/fan2 Fan2 - M: 323075940, gap: 0, tsf: 190, ssf: 1360, rpm: 1360
d15/debugstate/kwl/fan1 Fan1 - M: 324075940, gap: -13, tsf: 647, ssf: 1230, rpm: 1217
d15/debugstate/kwl/fan2 Fan2 - M: 324075940, gap: -1, tsf: 190, ssf: 1360, rpm: 1359
d15/debugstate/kwl/fan1 Fan1 - M: 325075940, gap: -13, tsf: 647, ssf: 1230, rpm: 1217
d15/debugstate/kwl/fan2 Fan2 - M: 325075940, gap: -2, tsf: 190, ssf: 1360, rpm: 1358
d15/debugstate/kwl/fan1 Fan1 - M: 327075940, gap: -13, tsf: 647, ssf: 1230, rpm: 1217
d15/debugstate/kwl/fan2 Fan2 - M: 327075940, gap: -2, tsf: 190, ssf: 1360, rpm: 1358
d15/debugstate/kwl/fan1 Fan1 - M: 328075940, gap: -13, tsf: 647, ssf: 1230, rpm: 1217
d15/debugstate/kwl/fan2 Fan2 - M: 328075940, gap: -2, tsf: 190, ssf: 1360, rpm: 1358
d15/debugstate/kwl/fan1 Fan1 - M: 329075940, gap: -12, tsf: 647, ssf: 1230, rpm: 1218
d15/debugstate/kwl/fan2 Fan2 - M: 329075940, gap: 1, tsf: 190, ssf: 1360, rpm: 1361
d15/debugstate/kwl/fan1 Fan1 - M: 330075940, gap: -19, tsf: 647, ssf: 1230, rpm: 1211
d15/debugstate/kwl/fan2 Fan2 - M: 330075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 332075940, gap: -21, tsf: 647, ssf: 1230, rpm: 1209
d15/debugstate/kwl/fan2 Fan2 - M: 332075940, gap: -3, tsf: 190, ssf: 1360, rpm: 1357
d15/debugstate/kwl/fan1 Fan1 - M: 333075940, gap: -21, tsf: 647, ssf: 1230, rpm: 1209
d15/debugstate/kwl/fan2 Fan2 - M: 333075940, gap: -2, tsf: 190, ssf: 1360, rpm: 1358
d15/debugstate/kwl/fan1 Fan1 - M: 334075940, gap: -21, tsf: 647, ssf: 1230, rpm: 1209
d15/debugstate/kwl/fan2 Fan2 - M: 334075940, gap: -3, tsf: 190, ssf: 1360, rpm: 1357
d15/debugstate/kwl/fan1 Fan1 - M: 335075940, gap: -16, tsf: 647, ssf: 1230, rpm: 1214
d15/debugstate/kwl/fan2 Fan2 - M: 335075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 337075940, gap: -17, tsf: 647, ssf: 1230, rpm: 1213
d15/debugstate/kwl/fan2 Fan2 - M: 337075940, gap: -3, tsf: 190, ssf: 1360, rpm: 1357
d15/debugstate/kwl/fan1 Fan1 - M: 338075940, gap: -23, tsf: 647, ssf: 1230, rpm: 1207
d15/debugstate/kwl/fan2 Fan2 - M: 338075940, gap: -1, tsf: 190, ssf: 1360, rpm: 1359
d15/debugstate/kwl/fan1 Fan1 - M: 339075940, gap: -23, tsf: 647, ssf: 1230, rpm: 1207
d15/debugstate/kwl/fan2 Fan2 - M: 339075940, gap: 3, tsf: 190, ssf: 1360, rpm: 1363
d15/debugstate/kwl/fan1 Fan1 - M: 340075940, gap: -22, tsf: 647, ssf: 1230, rpm: 1208
d15/debugstate/kwl/fan2 Fan2 - M: 340075940, gap: 0, tsf: 190, ssf: 1360, rpm: 1360
d15/debugstate/kwl/fan1 Fan1 - M: 342075940, gap: -22, tsf: 647, ssf: 1230, rpm: 1208
d15/debugstate/kwl/fan2 Fan2 - M: 342075940, gap: -2, tsf: 190, ssf: 1360, rpm: 1358
d15/debugstate/kwl/fan1 Fan1 - M: 343075940, gap: -22, tsf: 647, ssf: 1230, rpm: 1208
d15/debugstate/kwl/fan2 Fan2 - M: 343075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 344075940, gap: -23, tsf: 647, ssf: 1230, rpm: 1207
d15/debugstate/kwl/fan2 Fan2 - M: 344075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
d15/debugstate/kwl/fan1 Fan1 - M: 345075940, gap: -16, tsf: 647, ssf: 1230, rpm: 1214
d15/debugstate/kwl/fan2 Fan2 - M: 345075940, gap: -4, tsf: 190, ssf: 1360, rpm: 1356
